# flight_no,dep,arr,dep_time,arr_time,price,category
RUS9040,AYAN,AYDK,0900,1000,50,tour_png
RUS0152,FAKN,FASZ,0930,1020,136,base
RUS0154,FASZ,FALA,0930,1020,184,base
AURUS24,HECA,UUEE,1722,2114,431,base
AURUS32,HECA,UUEE,0736,1112,431,base
AFL733,HEGN,ULLI,1100,1745,504,base
AFL5794,HEGN,USCC,0930,1730,524,base
AFL421,HEGN,UUEE,2010,0220,462,base
AFL423,HEGN,UUEE,1500,2120,462,base
AFL425,HEGN,UUEE,1805,0010,462,base
NWS3362,HESH,UNOO,1500,0030,572,base
AFL901,HESH,USSS,1135,1950,521,base
RWZ3128,HESH,USTR,1420,2200,546,base
AFL429,HESH,UUEE,0945,1540,453,base
AFL5556,HESH,UUEE,1325,1925,453,base
AFL913,HESH,UWKD,1540,2110,469,base
AFL5576,HESH,UWUU,2220,0550,482,base
AFL5568,HESH,UWWW,1245,1905,451,base
RUS0030,KATL,SBGR,0930,1020,924,base
RUS0025,KBOS,EDDM,0930,1020,770,base
RUS0226,KBUF,KGFL,0930,1020,190,base
RUS0042,KDFW,LEMD,0930,1020,979,base
RUS0040,KDFW,WSSS,0930,1020,2171,base
RUS0147,KFLL,MHTG,0930,1020,297,base
RUS0002,KJFK,EDDM,0930,1020,805,base
RUS0067,KJFK,UUEE,0930,1020,920,base
RUS0043,KLAX,EDDF,0930,1020,1148,base
RUS0054,KLAX,UUEE,0930,1020,1206,base
RUS0065,KLAX,UUEE,0930,1020,1206,base
RUS0126,KORD,KBUF,0930,1020,222,tour_world
RUS0125,KSEA,PAKT,0930,1020,255,base
RUS0001,KSLC,EGLL,0930,1020,959,base
DAL386,KSLC,KJFK,0930,1020,460,base
DAL671,KSLC,KJFK,0930,1020,460,base
DAL697,KSLC,KJFK,0930,1020,460,base
DAL705,KSLC,KJFK,0930,1020,460,base
JBU372,KSLC,KJFK,0930,1020,460,base
JBU72,KSLC,KJFK,0930,1020,460,base
RUS0007,KSLC,LFPG,0930,1020,1001,base
RUS0276,LDDU,LIEO,0930,1020,225,base
RUS0238,LDDU,LKPR,0930,1020,240,base
RUS0289,LEBL,LXGB,0930,1020,235,base
RUS0290,LEBL,LXGB,0930,1020,235,base
RUS0038,LEBL,UMKK,0930,1020,345,base
AURUS2,LEBL,UUEE,1242,1624,442,base
TOM9539,LEIB,LEPA,0930,1020,145,base
IBS1691,LEMD,LEIB,0705,0820,194,base
AURUS16,LEMD,UUEE,1342,1754,482,base
RYR6882,LEMH,LEBL,0740,0835,163,base
ANE41PM,LEPA,LEMH,1715,1810,145,base
RUS0285,LFLB,LEBL,0930,1020,205,base
RUS0282,LFLB,LSGG,0930,1020,150,base
RUS0267,LFLJ,LFLL,0930,1020,155,base
RUS0284,LFLL,LFLB,0930,1020,135,base
RUS0266,LFLL,LFLJ,0930,1020,145,base
RUS0004,LFPG,KJFK,0930,1020,733,base
RUS0010,LFPG,UUEE,0930,1020,387,base
RUS0031,LFPO,KDFW,0930,1020,975,base
TVF7367,LFRB,LFBO,2035,2205,220,base
AURUS26,LGAV,UUEE,1718,2006,367,base
RUS0277,LIEO,LFLB,0930,1020,207,base
RUS0278,LIEO,LFLB,0930,1020,208,base
AURUS28,LIPZ,UUEE,1806,2042,352,base
RUS0155,LJLJ,LIMC,0930,1020,191,base
RUS0005,LKPR,LFPG,0930,1020,231,base
RUS0239,LKPR,UUEE,0930,1020,310,base
RWZ4318,LLBG,URMM,0510,0809,299,base
RWZ4318,LLBG,URMM,0020,0330,299,base
RWZ4312,LLBG,URSS,2115,0005,279,base
RWZ16,LLBG,UUDD,0015,0600,403,base
RWZ20,LLBG,UUDD,0015,0600,403,base
AURUS34,LLBG,UUEE,0818,1136,409,base
RUS0237,LMML,LDDU,0930,1020,230,base
IBE05MR,LPPR,LEMD,0815,1035,191,base
TAP1920,LPPT,LPPR,0630,0730,167,base
RUS0198,LQSA,UUEE,0930,1020,334,base
RUS0272,LROP,LDDU,0930,1020,215,base
RUS0283,LSGG,LFLB,0930,1020,137,base
RUS0274,LSZH,LFMD,0930,1020,192,base
RUS0275,LSZH,LFMD,0930,1020,192,base
AURUS30,LSZH,UUEE,0542,0824,361,base
CPA382,LSZH,VHHH,1330,0705,1142,base
SWR138,LSZH,VHHH,2240,1640,1142,base
AFL791,LTAI,ULLI,2135,0105,396,base
AFL807,LTAI,UNNT,1525,0040,576,base
SBI5864,LTAI,UNNT,1500,1700,576,base
SBI5884,LTAI,UNNT,2100,2300,576,base
UTA742,LTAI,URMG,0440,0715,290,base
AFL805,LTAI,URMM,1635,1855,277,base
PBD790,LTAI,URMO,1540,1806,282,base
AFL6736,LTAI,URSS,1825,2030,253,base
AFL6752,LTAI,URSS,1125,1330,253,base
RWZ4004,LTAI,URSS,1405,1600,253,base
RWZ4004,LTAI,URSS,1020,1215,253,base
SDM6736,LTAI,URSS,1825,2029,253,base
SDM6752,LTAI,URSS,1125,1319,253,base
AFL793,LTAI,USSQ,1845,0055,464,base
STW283,LTAI,UUBW,0810,1245,356,base
SBI3740,LTAI,UUDD,1000,1230,356,base
SBI3742,LTAI,UUDD,0255,0740,356,base
SBI3742,LTAI,UUDD,1400,1630,356,base
SBI3746,LTAI,UUDD,2200,0030,356,base
AFL2125,LTAI,UUEE,1610,2110,361,base
AFL2127,LTAI,UUEE,1735,2220,361,base
AFL2145,LTAI,UUEE,2040,0120,361,base
AFL2149,LTAI,UUEE,0915,1405,361,base
AFL2701,LTAI,UUEE,1750,2150,361,base
PBD840,LTAI,UUWW,1255,1745,356,base
PBD860,LTAI,UUWW,1505,1930,356,base
PBD980,LTAI,UUWW,2250,0335,356,base
UTA784,LTAI,UUWW,1650,2150,356,base
AFL801,LTAI,UWGG,1000,1430,378,base
AFL795,LTAI,UWKD,0605,1030,392,base
AFL795,LTAI,UWKD,0530,0955,392,base
PBD958,LTAI,UWKD,1620,2040,392,base
AFL799,LTAI,UWUU,2200,0425,414,base
AFL799A,LTAI,UWUU,0500,1059,414,base
AFL797,LTAI,UWWW,0920,1401,378,base
AFL2151,LTDB,UUEE,1505,1935,345,base
AFL2121,LTFE,UUEE,1410,1850,363,base
AFL2155,LTFE,UUEE,1850,2355,363,base
SVR1562,LTFJ,URMM,1505,1710,264,base
RUS0245,LTFJ,URSS,0930,1020,238,base
SVR1850,LTFJ,URWW,1455,1850,293,base
SVR1578,LTFJ,USCC,1655,2150,425,base
SVR1558,LTFJ,USII,1030,1550,389,base
SVR1560,LTFJ,USPP,1915,0010,409,base
SVR3558,LTFJ,UUDD,1705,2210,317,base
SVR3576,LTFJ,UUDD,2150,0240,317,base
RUS0012,LTFM,RJTT,0930,1020,1100,base
AFL6964,LTFM,ULLI,1700,2225,350,base
SDM6964,LTFM,ULLI,1700,2202,350,base
SBI5872,LTFM,UNNT,1400,1600,557,base
SBI5890,LTFM,UNNT,2200,2400,557,base
UTA728,LTFM,URMG,1910,2130,286,base
PBD942,LTFM,URML,1745,2005,301,base
RWZ4656,LTFM,URMM,0125,0335,266,base
AFL6730,LTFM,URSS,1705,1900,242,base
AFL6734,LTFM,URSS,0235,0430,242,base
SDM6730,LTFM,URSS,1735,1918,242,base
SDM6732,LTFM,URSS,0020,0151,242,base
SDM6734,LTFM,URSS,0235,0417,242,base
SDM6871,LTFM,URSS,1735,1858,242,base
AFL631,LTFM,USSS,1250,1920,427,base
AFL631,LTFM,USSS,1245,1920,427,base
SVR774,LTFM,USSS,1645,2145,427,base
SBI3750,LTFM,UUDD,1100,1330,315,base
SBI3752,LTFM,UUDD,1900,2130,315,base
SVR784,LTFM,UUDD,1610,2040,315,base
SVR784,LTFM,UUDD,1305,1740,315,base
AFL2131,LTFM,UUEE,1725,2210,319,base
AFL2133,LTFM,UUEE,0400,0830,319,base
AFL2135,LTFM,UUEE,2340,0410,319,base
AFL2137,LTFM,UUEE,1550,2025,319,base
AFL2173,LTFM,UUEE,1320,1825,319,base
PBD994,LTFM,UUWW,1340,1836,315,base
UTA1104,LTFM,UWUU,1625,2240,389,base
RUS0061,MMMX,UUEE,0930,1020,1335,base
SDM6850,MUHA,UUEE,0910,0659,1181,base
SDM6928,MUVR,UUEE,1935,1559,1175,base
RUS0287,MYNN,TXKF,0930,1020,295,base
RUS0288,MYNN,TXKF,0930,1020,295,base
RUS5107,NFFN,NSFA,0000,0129,260,event_vzhuh
RUS5207,NFFN,NSFA,0000,0129,260,event_vzhuh
RUS5307,NFFN,NSFA,0000,0129,260,event_vzhuh
RUS5407,NFFN,NSFA,0000,0129,260,event_vzhuh
RUS5108,NSFA,NTAA,0000,0300,385,event_vzhuh
RUS5208,NSFA,NTAA,0000,0300,385,event_vzhuh
RUS5308,NSFA,NTAA,0000,0300,385,event_vzhuh
RUS5408,NSFA,NTAA,0000,0300,385,event_vzhuh
RUS5109,NTAA,NTGJ,0000,0209,310,event_vzhuh
RUS5209,NTAA,NTGJ,0000,0209,310,event_vzhuh
RUS5309,NTAA,NTGJ,0000,0209,310,event_vzhuh
RUS5409,NTAA,NTGJ,0000,0209,310,event_vzhuh
RUS5110,NTGJ,SCIP,0000,0311,400,event_vzhuh
RUS5210,NTGJ,SCIP,0000,0311,400,event_vzhuh
RUS5310,NTGJ,SCIP,0000,0311,400,event_vzhuh
RUS5410,NTGJ,SCIP,0000,0311,400,event_vzhuh
RUS5106,NWWW,NFFN,0000,0131,270,event_vzhuh
RUS5206,NWWW,NFFN,0000,0131,270,event_vzhuh
RUS5306,NWWW,NFFN,0000,0131,270,event_vzhuh
RUS5406,NWWW,NFFN,0000,0131,270,event_vzhuh
RUS0011,OIIE,VHHH,0930,1020,770,base
AFL531,OMAA,UUEE,1650,2145,517,base
BRU718,OMDB,UMMS,1225,1750,530,base
SBI5786,OMDB,UNNT,0130,0400,539,base
SBI5788,OMDB,UNNT,0730,1000,539,base
SBI3774,OMDB,UUDD,1530,1830,504,base
SBI3776,OMDB,UUDD,2030,2330,504,base
SBI3778,OMDB,UUDD,0330,0630,504,base
UAE129,OMDB,UUDD,0220,0640,504,base
AFL521,OMDB,UUEE,1605,2050,510,base
AFL525,OMDB,UUEE,1320,1810,510,base
AFL527,OMDB,UUEE,1950,0035,510,base
RUS0181,OMDB,WMKK,0930,1020,702,base
RUS0028,OMDB,ZSPD,0930,1020,801,base
SDM6912,OMDW,ULLI,1910,0101,574,base
AFL769,OMDW,URKK,0640,0955,407,base
UTA734,OMDW,URMG,1030,1320,365,base
UTA736,OMDW,USRR,1420,2110,568,base
AFL751,OMDW,USSS,1720,2340,497,base
UTA762,OMDW,USTR,1435,2045,508,base
PBD992,OMDW,UUWW,1435,1854,510,base
PBD992,OMDW,UUWW,1535,1949,510,base
UTA716,OMDW,UUWW,1430,1920,510,base
AURUS18,ORBI,UUEE,1342,1654,400,base
RUS0134,PACV,PANC,0930,1020,165,base
RUS0132,PAJN,PAYA,0930,1020,174,base
RUS0126,PAKT,PAWG,0930,1020,145,base
RUS0128,PAPG,PASI,0930,1020,147,base
RUS0129,PASI,PAJN,0930,1020,147,base
RUS0127,PAWG,PAPG,0930,1020,132,base
RUS0133,PAYA,PACV,0930,1020,178,base
RUS0210,RJAA,RJTF,0930,1020,136,base
RUS0027,RJAA,UHHH,0930,1020,293,base
RUS0058,RJAA,UHHH,0930,1020,293,base
RUS0262,RJAA,ULLI,0930,1020,940,base
RUS0131,RJAA,UUEE,0930,1020,922,base
RUS0215,RJBB,RJOO,0930,1020,132,base
RUS0214,RJBD,RJBB,0930,1020,138,base
RUS0217,RJBE,RJOR,0930,1020,145,base
RUS0253,RJBE,UHWW,0930,1020,250,base
RUS0207,RJCC,RJEO,0930,1020,156,base
RUS0206,RJCN,RJCC,0930,1020,167,base
RUS0233,RJCN,RJCC,0930,1020,167,base
RUS0205,RJCW,RJCN,0930,1020,173,base
RUS0232,RJCW,RJCN,0930,1020,173,base
RUS0208,RJEO,RJSA,0930,1020,151,base
RUS0228,RJFC,RJKI,0930,1020,160,base
RUS0222,RJFF,RJFS,0930,1020,132,base
RUS0227,RJFK,RJFC,0930,1020,149,base
RUS0225,RJFM,RJFK,0930,1020,136,base
RUS0221,RJFR,RJFF,0930,1020,134,base
RUS0223,RJFS,RJFT,0930,1020,134,base
RUS0224,RJFT,RJFM,0930,1020,143,base
RUS0213,RJGG,RJBD,0930,1020,154,base
RUS0230,RJKA,ROAH,0930,1020,173,base
RUS0229,RJKI,RJKA,0930,1020,129,base
RUS0212,RJNT,RJGG,0930,1020,156,base
RUS0219,RJOA,RJOK,0930,1020,143,base
RUS0220,RJOK,RJFR,0930,1020,162,base
RUS0216,RJOO,RJBE,0930,1020,129,base
RUS0218,RJOR,RJOA,0930,1020,149,base
RUS0209,RJSA,RJAA,0930,1020,202,base
RUS0211,RJTF,RJNT,0930,1020,160,base
RUS0019,RJTT,LTFM,0930,1020,1100,base
RUS0052,RJTT,UUEE,0930,1020,922,base
RUS0009,RJTT,VHHH,0930,1020,431,base
RUS0252,RKSI,RJBE,0930,1020,231,base
RUS0251,RKSI,UHWW,0930,1020,238,base
RUS0231,ROAH,ROKJ,0930,1020,138,base
RUS5103,RPVP,WAMM,0000,0122,260,event_vzhuh
RUS5203,RPVP,WAMM,0000,0122,260,event_vzhuh
RUS5303,RPVP,WAMM,0000,0122,260,event_vzhuh
RUS5403,RPVP,WAMM,0000,0122,260,event_vzhuh
RUS1716,SAEZ,SUMU,1800,1845,160,event_sasr
RUS1704,SBBV,SVSR,1400,1630,239,event_sasr
RUS0032,SBGR,KATL,0930,1020,924,base
RUS0056,SBGR,UUEE,0930,1020,1496,base
RUS1718,SBPA,SBFL,0830,1000,180,event_sasr
RUS1712,SCAR,SCDA,2130,2230,162,event_sasr
RUS1713,SCDA,SLLP,0830,1000,195,event_sasr
RUS0291,SCFA,SASA,0930,1020,200,base
RUS5112,SCFA,SGAS,0000,0144,277,event_vzhuh
RUS5212,SCFA,SGAS,0000,0144,277,event_vzhuh
RUS5312,SCFA,SGAS,0000,0144,277,event_vzhuh
RUS5412,SCFA,SGAS,0000,0144,277,event_vzhuh
RUS5111,SCIP,SCFA,0000,0448,530,event_vzhuh
RUS5211,SCIP,SCFA,0000,0448,530,event_vzhuh
RUS5311,SCIP,SCFA,0000,0448,530,event_vzhuh
RUS5411,SCIP,SCFA,0000,0448,530,event_vzhuh
RUS1709,SEQM,SPSO,1030,1730,303,event_sasr
RUS1715,SGAS,SAEZ,1530,1730,253,event_sasr
RUS5113,SGAS,SBGL,0000,0148,292,event_vzhuh
RUS5213,SGAS,SBGL,0000,0148,292,event_vzhuh
RUS5313,SGAS,SBGL,0000,0148,292,event_vzhuh
RUS5413,SGAS,SBGL,0000,0148,292,event_vzhuh
RUS1708,SKBO,SEQM,0800,1000,217,event_sasr
RUS1707,SKBQ,SKBO,2130,2300,215,event_sasr
RUS1714,SLLP,SGAS,1030,1500,292,event_sasr
RUS1702,SMJP,SYCJ,1030,1130,180,event_sasr
RUS1701,SOCA,SMJP,0900,1015,173,event_sasr
RUS1711,SPQU,SCAR,2000,2100,165,event_sasr
RUS1710,SPSO,SPQU,1800,1930,204,event_sasr
RUS1717,SUMU,SBPA,1930,2145,217,event_sasr
RUS1706,SVMI,SKBQ,1830,2100,231,event_sasr
RUS1705,SVSR,SVMI,1700,1800,171,event_sasr
RUS1703,SYCJ,SBBV,1200,1330,50,event_sasr
RUS0156,TJSJ,UUEE,0930,1020,1122,base
SYL636,UAAA,UIII,1500,2140,367,base
AFL6532,UAAA,ULLI,0850,1200,502,base
SBI5502,UAAA,UNNT,1245,1445,282,base
SBI5504,UAAA,UNNT,1615,1815,282,base
RWZ1074,UAAA,USSS,0450,0800,332,base
AFL1943,UAAA,UUEE,0740,1025,453,base
AFL1947,UAAA,UUEE,1710,2005,453,base
KZR931,UAAA,VTBS,0930,1020,542,base
SBI5516,UACC,UNNT,1030,1200,233,base
RUS0254,UACC,UTDD,0930,1020,300,base
AFL1915,UACC,UUEE,2250,0055,372,base
AFL1957,UACC,UUEE,0610,0750,372,base
AFL1963,UACC,UUEE,2155,2335,372,base
RWZ4668,UACC,UWKD,0535,0620,299,base
SBI5520,UAII,UNNT,1300,1500,315,base
AFL1951,UAII,UUEE,0640,0910,416,base
SBI5528,UAKK,UNNT,1130,1300,233,base
AFL1937,UAKK,UUEE,0840,1045,389,base
SBI5524,UASK,UNNT,1100,1230,202,base
SBI3276,UASK,UUDD,1045,1215,442,base
UTA732,UBBB,ULLI,1710,2020,396,base
SBI5580,UBBB,UNNT,1630,1830,429,base
SVR2146,UBBB,UTTT,1725,2045,306,base
AFL1851,UBBB,UUEE,0250,0500,339,base
AFL1855,UBBB,UUEE,1550,1825,339,base
AFL1857,UBBB,UUEE,2005,2235,339,base
UTA746,UBBB,UUWW,1505,1730,337,base
SVR2412,UBBG,UUDD,1555,1905,319,base
AFL1829,UBBG,UUEE,1715,1935,326,base
UTA744,UBBG,UUWW,1200,1445,321,base
SVR2152,UCFM,ULLI,1025,1540,488,base
SBI5542,UCFM,UNNT,1300,1500,290,base
SBI6328,UCFO,UIII,1000,1230,414,base
SVR2734,UCFO,ULLI,2140,0300,502,base
AFL6794,UCFO,UNKL,0115,0525,367,base
SBI5546,UCFO,UNNT,1330,1530,319,base
SVR2904,UCFO,USSS,0050,0355,343,base
SVR2910,UCFO,UUDD,2240,0320,442,base
AFL1895,UCFO,UUEE,0950,1130,449,base
AFL6924,UDYZ,ULLI,1550,1855,381,base
SBI5592,UDYZ,UNNT,1545,1745,464,base
AFL615,UDYZ,URKK,1425,1530,216,base
RWZ4332,UDYZ,URMM,1925,1940,194,base
AFL6720,UDYZ,URSS,1150,1230,198,base
AFL6720,UDYZ,URSS,1155,1240,198,base
AFL6742,UDYZ,URSS,2335,2335,198,base
RWZ4330,UDYZ,URSS,0900,0930,198,base
SVR2950,UDYZ,USSS,1455,1815,363,base
SVR2950,UDYZ,USSS,1515,1835,363,base
UTA876,UDYZ,USTR,1110,1545,383,base
SVR2634,UDYZ,UUDD,2045,2355,321,base
AFL1861,UDYZ,UUEE,1355,1625,328,base
AFL1867,UDYZ,UUEE,1510,1750,328,base
AFL1869,UDYZ,UUEE,0015,0250,328,base
AFL1917,UDYZ,UUEE,1735,2005,328,base
AFL1967,UDYZ,UUEE,0645,0905,328,base
UTA786,UDYZ,UUWW,0245,0520,323,base
RWZ1348,UDYZ,UWGG,1320,1530,323,base
SYL424,UEBB,UEEE,0935,1025,213,base
SBI5358,UEBT,UNNT,1300,1630,444,base
SYL610,UECT,UUWW,1640,1650,559,base
SYL423,UEEE,UEBB,0550,0835,213,base
SYL429,UEEE,UELL,1300,1450,211,base
SYL417,UEEE,UEMT,0700,0950,218,base
SYL433,UEEE,UERO,1215,1505,253,base
SYL433,UEEE,UERO,0700,0950,253,base
SYL411,UEEE,UERP,1030,1210,244,base
SYL439,UEEE,UERR,1030,1200,229,base
SYL401,UEEE,UESK,0500,1000,273,base
SYL445,UEEE,UESK,0620,1120,273,base
SYL243,UEEE,UESO,1420,1910,268,base
SYL443,UEEE,UESO,1400,1850,268,base
SYL401,UEEE,UESS,0440,1015,306,base
SYL431,UEEE,UEST,1445,1730,253,base
SYL2102,UEEE,UHHH,0940,1310,299,base
SYL295,UEEE,UHHH,0820,1150,299,base
SYL295,UEEE,UHHH,0420,0800,299,base
SYL735,UEEE,UHMP,0640,1240,343,base
SBI6208,UEEE,UHWW,2235,0255,352,base
SBI6208,UEEE,UHWW,0800,1100,352,base
SYL491,UEEE,UHWW,1025,1440,352,base
SYL491,UEEE,UHWW,1230,1650,352,base
SYL491,UEEE,UHWW,1000,1420,352,base
SBI6402,UEEE,UIII,0700,0900,330,base
SYL493,UEEE,UIII,1900,2100,330,base
SYL493,UEEE,UIII,0710,0910,330,base
SYL413,UEEE,UIUU,1240,1430,319,base
SYL487,UEEE,ULLI,1200,1255,627,base
SYL487,UEEE,ULLI,1435,1530,627,base
SHU2456,UEEE,UNKL,1815,1930,361,base
SBI5262,UEEE,UNNT,0645,0900,418,base
SBI5262,UEEE,UNNT,1100,1330,418,base
SBI5264,UEEE,UNNT,1900,2130,418,base
SYL285,UEEE,UNNT,0955,1200,418,base
SYL465,UEEE,UNNT,0740,0950,418,base
SYL467,UEEE,USSS,0920,1045,515,base
SBI3006,UEEE,UUDD,1045,1145,634,base
SBI3006,UEEE,UUDD,1000,1230,634,base
SBI3008,UEEE,UUDD,1800,2030,634,base
AFL1751,UEEE,UUEE,1350,1445,629,base
SYL475,UEEE,UUEE,0520,0620,629,base
SYL473,UEEE,UUWW,0740,0840,634,base
SYL475,UEEE,UUWW,0520,0620,634,base
SYL475,UEEE,UUWW,0740,0840,634,base
SYL479,UEEE,UUWW,0740,0840,634,base
SYL736,UEEE,UUWW,1700,1800,634,base
SYL501,UEEE,ZYHB,2210,0005,328,base
SYL501,UEEE,ZYHB,0905,1050,328,base
SYL430,UELL,UEEE,1550,1745,211,base
SYL2132,UELL,UHHH,2015,2315,262,base
SYL2132,UELL,UHHH,1520,1820,262,base
SYL788,UELL,UNNT,1540,1750,400,base
SBI6448,UEMN,UIII,1300,1500,414,base
SBI5246,UEMN,UNNT,1200,1430,475,base
SBI5248,UEMN,UNNT,1800,2030,475,base
SBI5260,UEMN,UNNT,2330,0200,475,base
SBI3060,UEMN,UUDD,1200,1430,642,base
SYL418,UEMT,UEEE,1050,1155,218,base
SYL434,UERO,UEEE,1605,1855,253,base
SYL434,UERO,UEEE,1050,1340,253,base
SYL440,UERP,UEEE,1530,1710,244,base
SYL411,UERP,UERR,1310,1410,191,base
SYL412,UERR,UEEE,1540,1710,229,base
SYL439,UERR,UERP,1330,1430,191,base
SBI5242,UERR,UNNT,1100,1330,341,base
SBI5244,UERR,UNNT,1700,1930,341,base
SBI8052,UERR,UNNT,2300,0130,341,base
SYL402,UESK,UEEE,1545,1650,273,base
SYL446,UESK,UEEE,1220,1330,273,base
SYL401,UESK,UESS,1105,1225,178,base
SYL244,UESO,UEEE,2010,2120,268,base
SYL444,UESO,UEEE,1950,2105,268,base
RUS0148,UESO,UEST,0930,1020,88,base
SYL402,UESS,UEEE,1115,1300,306,base
SYL402,UESS,UESK,1325,1445,178,base
SYL432,UEST,UEEE,1830,2115,253,base
RWZ4662,UGSB,URMM,1500,1520,174,base
RWZ556,UGSB,URSS,2040,2045,163,base
RWZ568,UGSB,URSS,1410,1400,163,base
RWZ1204,UGSB,USSS,1550,2020,359,base
RWZ552,UGSB,UUDD,1310,1540,301,base
RWZ552,UGSB,UUDD,1400,1630,301,base
RWZ1504,UGSB,UWKD,1350,1605,310,base
RWZ702,UGTB,ULLI,1900,2205,367,base
RWZ704,UGTB,ULLI,0755,1055,367,base
RWZ558,UGTB,URSS,0945,0955,191,base
RWZ558,UGTB,URSS,1505,1510,191,base
RWZ1404,UGTB,USSS,1615,2025,345,base
RWZ560,UGTB,UUBW,1330,1520,306,base
RWZ560,UGTB,UUBW,1420,1630,306,base
RWZ566,UGTB,UUBW,1910,2120,306,base
RWZ1502,UGTB,UWKD,1620,1815,304,base
RWZ1370,UGTB,UWWW,0930,1220,282,base
SHU2309,UHBB,UHBE,0905,1005,180,base
SHU2311,UHBB,UHBW,0910,1040,205,base
SHU2310,UHBB,UHHH,1245,1535,207,base
SHU2312,UHBB,UHHH,1350,1635,207,base
SHU2478,UHBB,UHHH,0820,1045,207,base
IAE367,UHBB,UHPP,0145,1200,356,base
SHU2475,UHBB,UHSS,0915,1315,264,base
AFL6889,UHBB,UHWW,1005,1335,233,base
SHU2462,UHBB,UHWW,1640,2005,233,base
AFL6874,UHBB,UNKL,1700,1900,381,base
AFL6880,UHBB,UNKL,1550,1725,381,base
AFL6880,UHBB,UNKS,1550,1725,392,base
SBI5210,UHBB,UNNT,1230,1545,442,base
SBI5212,UHBB,UNNT,1545,1900,442,base
SBI5214,UHBB,UNNT,1900,2215,442,base
SVR300,UHBB,USSS,1600,1625,568,base
SBI3062,UHBB,UUDD,1300,1630,708,base
